title;average_rating;book_id;language_code
Dreamer of Dune: The Biography of Frank Herbert;4.01;9780765306470;en-US
Heretics of Dune (Dune Chronicles  #5);3.86;9780399128981;eng
The Road to Dune;3.88;9780765353702;eng
Heretics of Dune (Dune Chronicles #5);3.86;9780441328000;eng
The Lord of the Rings: The Art of the Fellowship of the Ring;4.59;9780618212903;eng
The Power of One (The Power of One  #1);4.35;9780345410054;eng
The Power of One (The Power of One  #1);4.35;9780385732543;eng
The Power of One: One Person  One Rule  One Month;4.28;9780785260059;en-US
Power of an Hour: Business and Life Mastery in One Hour a Week;3.34;9780471780939;eng
The Power of One: The Solo Play for Playwrights  Actors  and Directors;3.67;9780325001531;eng
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days;3.48;9780060762872;eng
eBay for Dummies;3.5;9780470045299;eng
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond;3.62;9780072262780;eng
Starting an eBay Business for Dummies;3.55;9780764569241;eng
eBay: Top 100 Simplified Tips & Tricks;4.27;9780471933823;eng
ebay Timesaving Techniques for Dummies;3.39;9780764559914;en-US
eBay Business All-in-One Desk Reference for Dummies;3.89;9780764584381;en-US
Ruby Cookbook;3.84;9780596523695;eng
Ruby Ann's Down Home Trailer Park Cookbook;4.12;9780806523491;eng
Ruby Ann's Down Home Trailer Park BBQin' Cookbook;4.08;9780806525365;eng
Rails Cookbook: Recipes for Rapid Web Development with Ruby;3.48;9780596527310;eng
Anna Karenina;4.05;9780143035008;eng
Anna Karenina;4.05;9780451528612;eng
Anna Karenina;4.05;9780140449174;eng
CliffsNotes on Tolstoy's Anna Karenina;3.85;9780822001836;eng
Anna Karenina;4.05;9781593080273;eng
Anna Karenina;4.05;9780486437965;eng
Anna Karenina;4.05;9781593081775;eng
Dinner with Anna Karenina;2.99;9780778322276;eng
Tolstoy: Anna Karenina;4.19;9780521313254;eng
Untouchable;3.71;9780140183955;eng
The Untouchable;3.95;9780679767473;eng
The Untouchables;3.89;9781568491981;eng
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India;3.82;9780743270793;en-US
Dalit: The Black Untaouchables of India;4.2;9780932863058;eng
Growing Up Untouchable in India: A Dalit Autobiography;3.65;9780742508804;eng
The Evidence-Based Social Work Skills Book;3.4;9780205358625;eng
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom";4.0;9781557344038;eng
Wrinkles in Time;4.01;9780380720446;eng
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1);4.0;9780821925324;eng
Literature Circle Guide: A Wrinkle in Time;3.6;9780439271691;eng
Una arruga en el tiempo – A Wrinkle in Time;4.0;9780606105262;spa
The Long Shadow (The Morland Dynasty  #6);4.12;9780751506433;eng
A Long Shadow (Inspector Ian Rutledge  #8);4.11;9780060786717;eng
Long Way Round: Chasing Shadows Across the World;3.94;9780743499347;en-US
A Shadow in Summer (Long Price Quartet  #1);3.6;9780765313409;eng
New Hope for the Dead (Hoke Mosely #2);3.9;9781400032495;eng
Sideswipe: A Hoke Moseley Novel;4.05;9781400032488;eng
Miami Blues (Hoke Moseley #1);3.94;9781400032464;eng
The Burnt Orange Heresy (Vintage Crime/Black Lizard);3.89;9780679732525;eng
I am Charlotte Simmons;3.42;9780312424442;eng
Poetry for Young People: Edward Lear;3.91;9780806930770;eng
The Puffin Book of Nonsense Verse;4.02;9780140366600;eng
Henry Miller on Writing;4.22;9780811201124;eng
Quiet Days in Clichy;3.69;9780802130167;eng
Tropic of Cancer;3.68;9780802131782;eng
Tropic of Capricorn;3.78;9780802151827;eng
Nexus (The Rosy Crucifixion  #3);4.1;9780802151780;eng
Sexus (The Rosy Crucifixion  #1);3.98;9780802151803;eng
The Air-Conditioned Nightmare;3.83;9780811201063;eng
The Portrait of a Lady;3.78;9780141439631;eng
The Portrait of a Lady;3.78;9781593080969;eng
Writing;3.75;9781571290533;eng
The War;3.85;9781565842212;eng
The Ravishing of Lol Stein;3.66;9780394743042;en-US
Love Letters;3.68;9781851681822;eng
Kahlil Gibran: His Life and World;4.21;9781566562492;eng
The Beloved: Reflections on the Path of the Heart;4.19;9780140195538;eng
Jesus the Son of Man;3.98;9780394431246;eng
The Broken Wings;3.92;9780806501901;eng
Sand and Foam;4.08;9780679439202;eng
Treasure Island;3.83;9780753453803;eng
Treasure Island;3.83;9781402714573;en-US
Treasure Island;3.83;9781416500292;eng
Treasure Island;3.83;9780689854682;eng
Treasure Island;3.83;9780517221143;en-US
Treasure Island (Great Illustrated Classics);4.05;9781577658054;eng
100 Years of Lynchings;4.61;9780933121188;eng
Cien años de soledad;4.07;9780785950103;spa
On Beyond Zebra!;4.04;9780394800844;eng
The Wedding Clause;3.6;9780821778258;eng
The Zebra Wall;3.44;9780060733032;eng
El perfume: Historia de un asesino;4.02;9788432216060;spa
The Door Into Summer;4.01;9780345413994;eng
Stranger in a Strange Land;3.92;9780441788385;eng
To Sail Beyond the Sunset;3.87;9780441748600;en-US
Job: A Comedy of Justice;3.78;9780345316509;en-US
Time for the Stars (Heinlein's Juveniles  #10);3.97;9780765314932;eng
The Long Dark Tea-Time of the Soul (Dirk Gently  #2);4.06;9780671742515;en-US
The Salmon of Doubt (Dirk Gently  #3);3.93;9780345455291;eng
Wish You Were Here: The Official Biography of Douglas Adams;4.14;9780345476517;eng
Douglas Adams's Starship Titanic;3.6;9780345368430;eng
Salmon of Doubt: Hitchhiking the Galaxy One Last Time;3.93;9781417622856;eng
The Phantom Tollbooth: A Children's Play in Two Acts;4.13;9780573650963;eng
On Bullshit;3.57;9780691122946;eng
Another Bullshit Night in Suck City;3.78;9780393329407;eng
Lincoln at Gettysburg: The Words That Remade America;4.14;9780671867423;en-US
The Gettysburg Address;4.53;9780395883976;eng
Underworld;3.92;9780684848150;eng
Libra;3.99;9780140156041;eng
Americana;3.43;9780140119480;eng
Running Dog;3.43;9780679722946;eng
Cosmopolis;3.22;9780743244251;eng
Great Jones Street;3.48;9780140179170;eng
The Names;3.64;9780679722953;eng
Against the Day;4.13;9781594201202;eng
V.;3.96;9780060930219;eng
The Crying of Lot 49;3.69;9780060931674;eng
Gravity's Rainbow;4.01;9780140283389;eng
Mason & Dixon;4.07;9780312423209;eng
Vineland;3.69;9780141180632;en-US
Gravity's Rainbow;4.01;9780143039945;eng
Slow Learner: Early Stories;3.5;9780316724432;eng
Been Down So Long It Looks Like Up To Me;3.8;9780140189308;eng
The Year of Magical Thinking;3.89;9781400043149;en-US
The White Album;4.17;9780374522216;eng
A Book of Common Prayer;3.8;9780679754862;eng
Where I Was From;3.86;9780679752868;eng
Slouching Towards Bethlehem;4.21;9780374521721;eng
Democracy;3.81;9780679754855;en-US
We Tell Ourselves Stories in Order to Live: Collected Nonfiction;4.5;9780307264879;eng
Play It As It Lays;3.87;9780374529949;eng
The New York Trilogy;3.89;9780143039839;eng
City of Glass (The New York Trilogy  #1);3.79;9780140097313;eng
Ghosts (The New York Trilogy  #2);3.64;9780140097351;eng
The Locked Room (The New York Trilogy  #3);3.89;9780940650763;eng
Pyramids of Montauk: Explorations in Consciousness;3.89;9780963188922;eng
The Brooklyn Follies;3.84;9780312426231;eng
Moon Palace;3.94;9780140115857;eng
The Music of Chance;3.9;9780140154078;en-US
Travels in the Scriptorium;3.23;9780805081459;eng
Leviathan;3.96;9780140178135;eng
The Red Notebook: True Stories;3.77;9780811214988;eng
Timbuktu / Leviathan / Moon Palace;4.38;9782742741465;fre
Collapse: How Societies Choose to Fail or Succeed;3.93;9780143036555;eng
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel;3.4;9780446579780;en-US
Collapse of Complex Societies;4.15;9780521386739;eng
Bowling Alone: The Collapse and Revival of American Community;3.8;9780743203043;eng
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom;3.91;9780345438713;eng
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America;4.39;9780393318289;eng
My Inventions;4.01;9781599869940;eng
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius;3.78;9780806519609;eng
Nikola Tesla: A Spark of Genius;3.93;9780822549208;eng
Tesla Papers;4.13;9780932813862;eng
Boys of Summer;3.77;9780373792689;eng
Programming Ruby: The Pragmatic Programmers' Guide;4.03;9780974514055;en-US
Golding's Lord of the Flies (Cliffs Notes);3.95;9780764585975;eng
Lord of the Flies;3.68;9780307281708;eng
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War;4.11;9780812969702;eng
We Were Not Like Other People;4.14;9780060255084;eng
The Lovely Bones;3.81;9780330485388;en-GB
The Lovely Bones;3.81;9781594130236;en-US
Lovely in Her Bones (Elizabeth MacPherson  #2);3.8;9780345360359;eng
The Zen of CSS Design: Visual Enlightenment for the Web;3.98;785342303476;en-US
HTML  XHTML  and CSS (Visual Quickstart Guide);3.8;9780321430847;en-US
1000 Record Covers;3.85;9783822840856;mul
Killing Yourself to Live: 85% of a True Story;3.81;9780743264464;eng
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto;3.73;9780743236010;eng
Vice (V  #8);3.51;9780553572490;eng
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1);3.77;9780060589462;eng
Once Upon a Cool Motorcycle Dude;4.08;9780802789471;eng
Guidebook to Zen and the Art of Motorcycle Maintenance;3.72;9780688060695;en-GB
Motorcycle Basics Techbook;3.85;9781859605158;eng
LOGO Lounge: 2 000 International Identities by Leading Designers;3.93;9781592530878;eng
The Death of Ivan Ilych And Other Stories;4.11;9780451528803;eng
War and Peace;4.11;9780192833983;eng
The Kingdom of God Is Within You;4.13;9780486451381;eng
Atlas Shrugged;3.69;9780452011878;eng
For the New Intellectual: The Philosophy of Ayn Rand;3.68;9780451163080;eng
The Fountainhead;3.87;9780452286757;en-US
The Virtue of Selfishness: A New Concept of Egoism;3.51;9780451163936;eng
Anthem;3.63;9780452281257;eng
We the Living;3.91;9780451187840;eng
Capitalism: The Unknown Ideal;3.88;9780451147950;eng
Letters of Ayn Rand;3.96;9780452274044;eng
Sailing for Dummies;3.95;9780471791430;eng
Sailing from Byzantium: How a Lost Empire Shaped the World;3.88;9780553803815;eng
Sailing Alone Around the Room: New and Selected Poems;4.23;9780375755194;eng
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories;3.62;9781592283194;eng
"Natural Cures ""They"" Don't Want You to Know about";3.09;9780975599518;en-US
The Natural;3.63;9780374502003;eng
Digging to America;3.55;9780307263940;eng
Rereading America: Cultural Contexts for Critical Thinking and Writing;3.77;9780312405540;eng
Modern Latin America;3.59;9780195170139;en-US
The Plot Against America;3.77;9781400079490;eng
Naked Pictures of Famous People;3.59;9780688171629;en-GB
Collected Stories;4.19;9780060932688;eng
Crónica de una muerte anunciada;3.97;9781400034956;spa
Cien años de soledad;4.07;9780307350428;spa
Del amor y otros demonios;3.98;9780307350442;spa
Living to Tell the Tale;3.99;9781400034543;eng
Memoria de mis putas tristes;3.6;9781400095803;spa
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory;4.07;9780375708114;eng
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman;4.29;9780861714926;eng
The Mini Rough Guide to London;3.75;9781843535843;eng
Best of London (Lonely Planet Best Of);3.83;9781740594776;eng
Lonely Planet Londres;4.03;9788408064763;spa
Out to Eat London 2002 (Lonely Planet Out to Eat);0.0;9781740592055;eng
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager;3.88;9780618710539;eng
Cryptonomicon;4.25;9780060512804;eng
Le Réseau Kinakuta (Cryptonomicon  #2);4.1;9782228894166;fre
The Confusion (The Baroque Cycle  #2);4.26;9780060733353;en-US
Quicksilver (The Baroque Cycle  #1);3.93;9780060593087;eng
The Cobweb;3.61;9780553383447;eng
The Big U;3.25;9780380816033;en-US
The Diamond Age: Or  A Young Lady's Illustrated Primer;4.19;9780553380965;eng
Interface;3.68;9780553383430;eng
Odalisque (The Baroque Cycle  Vol. 1  Book 3);4.2;9780060833183;en-US
Snow Crash;4.03;9780553380958;eng
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame;4.16;9781880685358;eng
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play;4.24;9781880685334;eng
The Design of Everyday Things;4.17;9780465067107;eng
Emotional Design: Why We Love (or Hate) Everyday Things;3.95;9780465051366;eng
The Psychology of Everyday Things;4.17;9780465067091;eng
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson;4.27;9780898709193;en-GB
The Alchemist;3.86;9780060887964;eng
The Alchemist;3.86;9780061122415;eng
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9);4.57;9781421504605;eng
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3);4.56;9781591169253;eng
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8);4.57;9781421504599;eng
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1);4.5;9781591169208;eng
Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4);4.55;9781591169291;eng
The Illustrated Alchemist: A Fable about Following Your Dream;3.86;9780060192501;en-US
Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2);4.52;9781591169239;eng
Pompeii;3.82;9780812974614;eng
The Last Days of Pompeii;3.6;9781587157394;eng
Of Mice and Men;3.87;9780142000670;eng
The Game: Penetrating the Secret Society of Pickup Artists;3.74;9780060554736;en-US
The Westing Game;4.02;9780142401200;eng
The Egypt Game;3.83;9780808553038;eng
Memoirs of a Geisha;4.11;9781400096893;eng
Memoirs of a Geisha;4.11;9780739326220;eng
Memoirs of a Geisha;4.11;9780099498186;en-US
Memoirs of a Geisha: A Portrait of the Film;4.08;9781557046833;eng
Memoirs of a Geisha;4.11;9780099771517;eng
Geisha of Gion;3.93;9780743430593;eng
Love As A Foreign Language #5;3.44;9781932664393;eng
Jungle Love;3.41;9780521750844;eng
The 5 Love Languages / The 5 Love Languages Journal;4.7;9780802415318;eng
Angels & Demons (Robert Langdon  #1);3.89;9781416524793;eng
Ángeles y demonios (Robert Langdon  #1);3.89;9788495618771;spa
Angeles & Demonios;3.89;9780972859899;spa
The Da Vinci Code (Robert Langdon  #2);3.84;9780307277671;eng
The Da Vinci Code;3.84;9780767926034;eng
Da Vinci Code (Robert Langdon  #2);3.84;9782266144346;fre
Deception Point;3.71;9781416524809;eng
Deception Point;3.71;9780552151764;eng
Deception Point;3.71;9780593055076;eng
A Killing Rain (Louis Kincaid  #6);4.04;9780786016068;eng
The Millionaire Next Door: The Surprising Secrets of America's Wealthy;4.03;9780671015206;eng
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century;4.18;9781585424337;eng
Think and Grow Rich;4.18;9781932429237;eng
Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series);3.58;9780977616657;eng
Read My Lips: Sexual Subversion and the End of Gender;3.95;9781563410901;en-US
Trump: The Art of the Deal;3.66;9780345479174;en-US
The Richest Man in Babylon;4.26;9780451205360;eng
The Richest Man in Babylon;4.26;9781419349997;eng
Shibumi;4.21;9781400098033;eng
1776;4.07;9780743226721;eng
1776;4.22;9780140481396;eng
The Crescent Obscured: The United States and the Muslim World  1776-1815;3.62;9780226014906;eng
The Good Earth (House of Earth  #1);3.98;9781416500186;eng
Purpose Driven Life - For Commuters: What on Earth Am I Here For?;3.93;9780310258971;eng
Fast Food Nation: The Dark Side of the All-American Meal;3.74;9780060838584;eng
Fast Food Nation: What The All-American Meal is Doing to the World;3.74;9780141006871;eng
Snow Flower and the Secret Fan;4.07;9780812968064;eng
The Broker;3.78;9780385340540;eng
The Power Broker: Robert Moses and the Fall of New York;4.51;9780394720241;eng
The Power Broker: A Novel (Christian Gillette  #3);3.75;9780345480606;eng
Body For Life: 12 Weeks to Mental and Physical Strength;3.74;9780060193393;en-US
Body for Life for Women: A Woman's Plan for Physical and Mental Transformation;3.65;9781579546014;en-US
Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!;3.95;9780972018418;eng
The Warren Buffett Way;4.13;9780471743675;en-US
The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers;4.07;9780471430452;eng
Monkey Business: True Story of the Scopes Trial;3.15;9780805431575;eng
Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2);3.99;9780679838869;en-US
Monkey Business;3.67;9780373250714;eng
Liar's Poker;4.15;9780140143454;eng
Liar's Poker: A Harry Garnish Mystery;3.31;9780802732293;eng
Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen;4.08;694055000612;eng
Giada's Family Dinners;3.96;9780307238276;eng
Everyday Italian: 125 Simple and Delicious Recipes;3.95;9781400052585;eng
Everyday Pasta;4.09;9780307346582;eng
Tyler's Ultimate: Brilliant Simple Food to Make Any Time;4.09;9781400052387;eng
Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook;4.06;9780609609972;eng
Eat This Book: Cooking with Global Fresh Flavors;3.92;9781400052370;eng
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything;3.97;9780061234002;eng
Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta;3.97;9788466625128;spa
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything;3.97;9780061245138;en-US
The Last Assassin (John Rain  #5);4.27;9780399153594;eng
Life of Pi;3.91;9780156030205;en-US
L'Histoire de Pi;3.91;9780828808392;fre
Shadows and Wind: A View of Modern Vietnam;3.49;9780140285970;eng
A Million Little Pieces;3.65;9780307276902;eng
A Million Little Pieces of Feces;3.56;9781411677319;en-US
A Million Little Lies;3.41;9780061171468;en-US
The Leadership Challenge;4.05;9780787968335;en-US
Lincoln on Leadership: Executive Strategies for Tough Times;4.14;9780446394598;eng
Leadership in Organizations;3.68;9780131494848;en-GB
Leadership;3.72;9780316861014;eng
Men Are from Mars  Women Are from Venus;3.55;9780060574215;eng
Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships;3.62;9780060192778;en-US
Men Are from Mars  Women Are from Venus;3.55;9780061232053;eng
How to Succeed with Women;3.76;9780735200302;en-US
The Clan of the Cave Bear (Earth's Children  #1);4.05;9780553381672;eng
The Clan of the Cave Bear (Earth's Children  #1);4.05;9780517542026;eng
Moneyball: The Art of Winning an Unfair Game;4.26;9780393324815;eng
Juiced Official Strategy Guide;0.0;9780744005615;eng
The 48 Laws of Power;4.18;9780140280197;eng
Gates of Fire;4.42;9780553383683;eng
Fire Sea (The Death Gate Cycle  #3);4.07;9780553295412;eng
The Gate of Fire (Oath Of Empire Book Two);3.58;9780812590104;en-US
The Afghan Campaign;3.96;9780385516419;eng
Tides of War;3.9;9780553381399;eng
Last of the Amazons;3.76;9780553382044;eng
The War of Art: Break Through the Blocks & Win Your Inner Creative Battles;4.0;9780446691437;eng
Gita on the Green;3.78;9780826413017;en-US
Blood Stripes: The Grunt's View of the War in Iraq;3.91;9780811701648;eng
Phaedrus and Letters VII and VIII;4.1;9780140442755;en-US
Phaedrus;3.92;9780192802774;eng
Phaedrus;3.92;9780140449747;eng
Lysis/Phaedrus/Symposium: Plato on Homosexuality;4.47;9780879756321;eng
Enthusiasm and Divine Madness;4.5;9781890318239;eng
On Love: Lysis/Symposium/Phaedrus/Alcibiades/Selections from Republic & Laws;4.06;9780872207882;eng
Gorgias/Phaedrus (Agora);4.35;9780801435300;eng
Statesman;3.85;9780872204621;eng
Gorgias;3.95;9780140449044;en-GB
The Histories;3.99;9780140449082;eng
The Histories;3.99;9780140446388;eng
The History (Great Minds);3.99;9780879757779;en-US
The Histories;3.99;9780192824257;eng
The Histories;3.99;9780140440348;en-US
The Histories;3.99;9780393959468;en-US
The Histories;3.99;9780375400612;en-US
The History;3.99;9780226327709;en-US
The Iliad;3.86;9780140275360;eng
Iliad;3.86;9780872203525;en-US
The Iliad;3.86;9780374529055;en-US
The Iliad/The Odyssey;4.04;9780147712554;eng
The Iliad;3.86;9780140447941;eng
The Iliad;3.86;9780451527370;en-US
The Essential Iliad;3.86;9780872205420;en-US
The Odyssey;3.76;9780143039952;eng
The Odyssey;3.76;9780374525743;eng
The Odyssey;3.76;9780060931957;eng
The Odyssey;3.76;9780140449112;eng
The Odyssey;3.76;9780451527363;eng
Aeneid: Selections from Books 1  2  4  6  10  12;4.35;9780865165847;eng
Eclogues. Georgics. Aeneid: Books 1-6;4.22;9780674995833;mul
City Eclogue;4.13;9781891190230;eng
The Eclogues and The Georgics;3.8;9780192837684;eng
Paul Kirk's Championship Barbecue Sauces: 175 Make-Your-Own Sauces  Marinades  Dry Rubs  Wet Rubs  Mops and Salsas;3.94;9781558321250;eng
The Complete Pelican Shakespeare;4.5;9780141000589;eng
The Complete Works;4.5;9780517092941;eng
Hamlet;4.02;9780521618748;eng
The Compleat Works of Wllm Shkspr (abridged);4.44;9781557831576;eng
The Pilgrimage: A Contemporary Quest for Ancient Wisdom;3.64;9780062512796;en-US
The Valkyries;3.31;9780062513342;en-US
Warrior of the Light;3.7;9780060527983;en-US
The Zahir;3.57;9780060832810;eng
By the River Piedra I Sat Down and Wept;3.57;9780061122095;eng
The Fifth Mountain;3.62;9780060930134;en-US
Veronika Decides to Die;3.7;9780061124266;eng
Hamlet;4.02;9780140714548;eng
Cliffs Notes on Shakespeare's Hamlet;3.69;9780764586033;en-US
Shakespeare's Hamlet;4.02;9780764585685;eng
Hamlet's Mill: An Essay Investigating the Origins of Human Knowledge and Its Transmission Through Myth;4.29;9780879232153;eng
History of the Peloponnesian War: Bk. 1-2;4.32;9780674991200;mul
On Justice  Power and Human Nature: Selections from The History of the Peloponnesian War;3.72;9780872201682;eng
History of the Peloponnesian War: Bk. 5-6;4.35;9780674991224;mul
The Peloponnesian War;3.9;9780872203945;eng
The Peloponnesian War: A New Translation  Backgrounds  Interpretations;3.9;9780393971675;eng
History of the Peloponnesian War  Bk. 7-8;4.29;9780674991873;eng
Thucydides  Book 6 Commentary;4.5;9780929524351;eng
Euripides I: Alcestis / The Medea / The Heracleidae / Hippolytus;4.03;9780226307800;eng
Euripides V: Electra / The Phoenician Women / The Bacchae;4.21;9780226307848;eng
Euripides IV: Rhesus / The Suppliant Women / Orestes / Iphigenia in Aulis;4.21;9780226307831;eng
Grief Lessons: Four Plays by Euripides;4.4;9781590171806;eng
Ten Plays;4.17;9780553213638;en-US
Euripides III: Hecuba / Andromache / The Trojan Women / Ion (Complete Greek Tragedies  #7);4.0;9780226307824;eng
Euripides II: The Cyclops / Heracles / Iphigenia in Tauris / Helen;4.31;9780226307817;eng
Medea and Other Plays;4.03;9780140449297;eng
Cyclops / Alcestis / Medea;4.23;9780674995604;mul
Medea;3.87;9780521643863;grc
The Bacchae and Other Plays;4.14;9780140447262;eng
Bakkhai;3.88;9780195125986;eng
Plays 1: Medea/The Phoenician Women/Bacchae;3.78;9780413752802;eng
